Source,Target,Weight
Text1,Text2,0.1592356687898089
Text1,Text3,0.0949367088607595
Text1,Text4,0.06547619047619048
Text1,Text5,0.0736196319018405
Text1,Text6,0.04242424242424243
Text1,Text7,0.05128205128205128
Text1,Text8,0.037267080745341616
Text1,Text9,0.06666666666666667
Text1,Text10,0.07741935483870968
Text1,Text11,0.04516129032258064
Text1,Text12,0.05625
Text2,Text3,0.08125
Text2,Text4,0.052941176470588235
Text2,Text5,0.04790419161676647
Text2,Text6,0.04242424242424243
Text2,Text7,0.07894736842105263
Text2,Text8,0.04375
Text2,Text9,0.06666666666666667
Text2,Text10,0.04375
Text2,Text11,0.05194805194805195
Text2,Text12,0.06289308176100629
Text3,Text4,0.030303030303030304
Text3,Text5,0.031055900621118012
Text3,Text6,0.03164556962025317
Text3,Text7,0.040268456375838924
Text3,Text8,0.032679738562091505
Text3,Text9,0.06338028169014084
Text3,Text10,0.07482993197278912
Text3,Text11,0.033783783783783786
Text3,Text12,0.05263157894736842
Text4,Text5,0.08860759493670886
Text4,Text6,0.1118421052631579
Text4,Text7,0.05921052631578947
Text4,Text8,0.0379746835443038
Text4,Text9,0.06802721088435375
Text4,Text10,0.0718954248366013
Text4,Text11,0.052980132450331126
Text4,Text12,0.08496732026143791
Text5,Text6,0.08552631578947369
Text5,Text7,0.07534246575342465
Text5,Text8,0.0457516339869281
Text5,Text9,0.07746478873239436
Text5,Text10,0.06666666666666667
Text5,Text11,0.06896551724137931
Text5,Text12,0.038461538461538464
Text6,Text7,0.047619047619047616
Text6,Text8,0.08275862068965517
Text6,Text9,0.04895104895104895
Text6,Text10,0.08275862068965517
Text6,Text11,0.04827586206896552
Text6,Text12,0.08904109589041095
Text7,Text8,0.12878787878787878
Text7,Text9,0.109375
Text7,Text10,0.07194244604316546
Text7,Text11,0.08270676691729323
Text7,Text12,0.03424657534246575
Text8,Text9,0.058394160583941604
Text8,Text10,0.0410958904109589
Text8,Text11,0.0425531914893617
Text8,Text12,0.07692307692307693
Text9,Text10,0.07407407407407407
Text9,Text11,0.05263157894736842
Text9,Text12,0.072992700729927
Text10,Text11,0.072992700729927
Text10,Text12,0.11594202898550725
Text11,Text12,0.04929577464788732
