,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8,Text9,Text10,Text11,Text12
Text1,1.0,0.1592356687898089,0.0949367088607595,0.06547619047619048,0.0736196319018405,0.04242424242424243,0.05128205128205128,0.037267080745341616,0.06666666666666667,0.07741935483870968,0.04516129032258064,0.05625
Text2,0.1592356687898089,1.0,0.08125,0.052941176470588235,0.04790419161676647,0.04242424242424243,0.07894736842105263,0.04375,0.06666666666666667,0.04375,0.05194805194805195,0.06289308176100629
Text3,0.0949367088607595,0.08125,1.0,0.030303030303030304,0.031055900621118012,0.03164556962025317,0.040268456375838924,0.032679738562091505,0.06338028169014084,0.07482993197278912,0.033783783783783786,0.05263157894736842
Text4,0.06547619047619048,0.052941176470588235,0.030303030303030304,1.0,0.08860759493670886,0.1118421052631579,0.05921052631578947,0.0379746835443038,0.06802721088435375,0.0718954248366013,0.052980132450331126,0.08496732026143791
Text5,0.0736196319018405,0.04790419161676647,0.031055900621118012,0.08860759493670886,1.0,0.08552631578947369,0.07534246575342465,0.0457516339869281,0.07746478873239436,0.06666666666666667,0.06896551724137931,0.038461538461538464
Text6,0.04242424242424243,0.04242424242424243,0.03164556962025317,0.1118421052631579,0.08552631578947369,1.0,0.047619047619047616,0.08275862068965517,0.04895104895104895,0.08275862068965517,0.04827586206896552,0.08904109589041095
Text7,0.05128205128205128,0.07894736842105263,0.040268456375838924,0.05921052631578947,0.07534246575342465,0.047619047619047616,1.0,0.12878787878787878,0.109375,0.07194244604316546,0.08270676691729323,0.03424657534246575
Text8,0.037267080745341616,0.04375,0.032679738562091505,0.0379746835443038,0.0457516339869281,0.08275862068965517,0.12878787878787878,1.0,0.058394160583941604,0.0410958904109589,0.0425531914893617,0.07692307692307693
Text9,0.06666666666666667,0.06666666666666667,0.06338028169014084,0.06802721088435375,0.07746478873239436,0.04895104895104895,0.109375,0.058394160583941604,1.0,0.07407407407407407,0.05263157894736842,0.072992700729927
Text10,0.07741935483870968,0.04375,0.07482993197278912,0.0718954248366013,0.06666666666666667,0.08275862068965517,0.07194244604316546,0.0410958904109589,0.07407407407407407,1.0,0.072992700729927,0.11594202898550725
Text11,0.04516129032258064,0.05194805194805195,0.033783783783783786,0.052980132450331126,0.06896551724137931,0.04827586206896552,0.08270676691729323,0.0425531914893617,0.05263157894736842,0.072992700729927,1.0,0.04929577464788732
Text12,0.05625,0.06289308176100629,0.05263157894736842,0.08496732026143791,0.038461538461538464,0.08904109589041095,0.03424657534246575,0.07692307692307693,0.072992700729927,0.11594202898550725,0.04929577464788732,1.0
